,alpha,gamma,rewards_per_action
0,0.9,0.3,1431.0
1,0.9,0.3,1360.0
2,0.9,0.3,1327.0
3,0.9,0.3,1201.0
4,0.9,0.3,1335.0
5,0.9,0.3,1375.0
6,0.9,0.3,1364.0
7,0.9,0.3,1345.0
8,0.9,0.3,1411.0
9,0.9,0.3,1406.0
10,0.9,0.3,1447.0
11,0.9,0.3,2364.0
12,0.9,0.3,1272.0
13,0.9,0.3,1440.0
14,0.9,0.3,1387.0
15,0.9,0.5,1564.0
16,0.9,0.5,1223.0
17,0.9,0.5,1314.0
18,0.9,0.5,1428.0
19,0.9,0.5,1363.0
20,0.9,0.5,1390.0
21,0.9,0.5,1236.0
22,0.9,0.5,1387.0
23,0.9,0.5,1422.0
24,0.9,0.5,1456.0
25,0.9,0.5,1401.0
26,0.9,0.5,1496.0
27,0.9,0.5,1242.0
28,0.9,0.5,1374.0
29,0.9,0.5,1409.0
